資料,月,版本,TPASS人次,TPASS使用比例%,總使用次數,使用人數,使用人合計日數,天數,平均每日使用次數,單日平均使用次數,全部_僅一次,全部_二至四次,全部_五次以上,全部_僅一次%,全部_五次以上%,TPASS_僅一次,TPASS_二至四次,TPASS_五次以上,TPASS_僅一次%,TPASS_五次以上%
臺東市區,114/11,去重,2029,17.75,11433,5591,9085,30,0.068,1.26,3161,2148,282,56.5,5,108,110,107,33.2,32.9
臺東市區,114/11,原,2029,17.75,11433,5591,9085,30,0.068,1.26,3161,2148,282,56.5,5,108,110,107,33.2,32.9
臺東市區,114/12,去重,2287,17.23,13272,6487,10575,31,0.066,1.26,3754,2414,319,57.9,4.9,98,114,118,29.7,35.8
臺東市區,114/12,原,2287,17.23,13272,6487,10575,31,0.066,1.26,3754,2414,319,57.9,4.9,98,114,118,29.7,35.8
臺東市區,115/01,去重,1956,17.12,11423,5548,9012,31,0.066,1.27,3217,2033,298,58,5.4,98,117,101,31,32
臺東市區,115/01,原,1956,17.12,11423,5548,9012,31,0.066,1.27,3217,2033,298,58,5.4,98,117,101,31,32
臺東市區,115/02,去重,1014,9.67,10483,5888,8403,28,0.064,1.25,3517,2165,206,59.7,3.5,103,121,56,36.8,20
臺東市區,115/02,原,1014,9.67,10483,5888,8403,28,0.064,1.25,3517,2165,206,59.7,3.5,103,121,56,36.8,20
臺東市區,115/03,去重,2195,18.18,12073,5880,9724,31,0.066,1.24,3421,2172,287,58.2,4.9,121,111,111,35.3,32.4
臺東市區,115/03,原,2195,18.18,12073,5880,9724,31,0.066,1.24,3421,2172,287,58.2,4.9,121,111,111,35.3,32.4
臺東市區,115/04,去重,1710,13.52,12648,6882,10533,30,0.061,1.2,4093,2522,267,59.5,3.9,133,106,100,39.2,29.5
臺東市區,115/04,原,1710,13.52,12648,6882,10533,30,0.061,1.2,4093,2522,267,59.5,3.9,133,106,100,39.2,29.5
臺東市區,115/05,去重,2209,13.69,16134,8299,13211,31,0.063,1.22,4653,3275,371,56.1,4.5,150,148,117,36.1,28.2
臺東市區,115/05,原,2209,13.69,16134,8299,13211,31,0.063,1.22,4653,3275,371,56.1,4.5,150,148,117,36.1,28.2
臺東市區,115/06,去重,2063,15.24,13533,7011,11159,30,0.064,1.21,4054,2637,320,57.8,4.6,140,167,123,32.6,28.6
臺東市區,115/06,原,2063,15.24,13533,7011,11159,30,0.064,1.21,4054,2637,320,57.8,4.6,140,167,123,32.6,28.6
花蓮公路,113/06,去重,4743,16.66,28469,8216,20070,30,0.116,1.42,3946,3056,1214,48,14.8,152,194,267,24.8,43.6
花蓮公路,113/06,原,4745,16.67,28472,8216,20070,30,0.116,1.42,3946,3056,1214,48,14.8,152,194,267,24.8,43.6
花蓮公路,113/07,去重,3574,13.41,26657,8224,18312,31,0.105,1.46,3941,3124,1159,47.9,14.1,145,154,214,28.3,41.7
花蓮公路,113/07,原,3577,13.42,26660,8224,18312,31,0.105,1.46,3941,3124,1159,47.9,14.1,145,154,214,28.3,41.7
花蓮公路,113/08,去重,3531,12.77,27647,9284,19548,31,0.096,1.41,4728,3379,1177,50.9,12.7,187,207,204,31.3,34.1
花蓮公路,113/08,原,3534,12.78,27650,9284,19548,31,0.096,1.41,4728,3379,1177,50.9,12.7,187,207,204,31.3,34.1
花蓮公路,113/09,去重,5933,19.54,30366,8945,21853,30,0.113,1.39,4475,3174,1296,50,14.5,191,190,318,27.3,45.5
花蓮公路,113/09,原,5933,19.54,30366,8945,21853,30,0.113,1.39,4475,3174,1296,50,14.5,191,190,318,27.3,45.5
花蓮公路,113/10,去重,5382,18.7,28780,9140,20494,31,0.102,1.4,4310,3611,1219,47.2,13.3,186,193,291,27.8,43.4
花蓮公路,113/10,原,5382,18.7,28780,9140,20494,31,0.102,1.4,4310,3611,1219,47.2,13.3,186,193,291,27.8,43.4
花蓮公路,113/11,去重,6072,17.49,34721,11517,24516,30,0.1,1.42,5594,4575,1348,48.6,11.7,208,198,303,29.3,42.7
花蓮公路,113/11,原,6074,17.49,34724,11517,24516,30,0.101,1.42,5593,4576,1348,48.6,11.7,208,198,303,29.3,42.7
花蓮公路,113/12,去重,5732,18.08,31709,10195,23197,31,0.1,1.37,5165,3632,1398,50.7,13.7,190,203,315,26.8,44.5
花蓮公路,113/12,原,5732,18.08,31709,10195,23197,31,0.1,1.37,5165,3632,1398,50.7,13.7,190,203,315,26.8,44.5
花蓮公路,114/01,去重,4124,15.81,26084,9284,19423,31,0.091,1.34,4986,3165,1133,53.7,12.2,199,224,248,29.7,37
花蓮公路,114/01,原,4124,15.81,26085,9284,19423,31,0.091,1.34,4986,3164,1134,53.7,12.2,199,224,248,29.7,37
花蓮公路,114/02,去重,4591,17.88,25675,8344,18559,28,0.11,1.38,4456,2727,1161,53.4,13.9,198,196,277,29.5,41.3
花蓮公路,114/02,原,4591,17.88,25675,8344,18559,28,0.11,1.38,4456,2727,1161,53.4,13.9,198,196,277,29.5,41.3
