資料,卡號,票種次類型,路線,上車站,上車時間,下車站,下車時間,旗標,重複列
臺東市區,f928ea55,#TTT-299,市區循環,台東火車站,2025-09-11 07:00:00,台東火車站,2025-09-11 07:00:00,0,FALSE
臺東市區,f928ea55,#TTT-299,市區循環,台東火車站,2025-09-11 07:00:00,-99,1970-01-01 00:00:00,1,TRUE
臺東市區,f928ea55,#TTT-299,市區循環,台東火車站,2025-09-11 16:00:00,拖吊場,2025-09-11 16:00:00,0,FALSE
臺東市區,f928ea55,#TTT-299,市區循環,台東火車站,2025-09-11 16:00:00,-99,1970-01-01 00:00:00,1,TRUE
臺東市區,f928ea55,#TTT-299,市區循環,台東火車站,2025-09-12 06:00:00,台東火車站,2025-09-12 07:00:00,0,FALSE
臺東市區,f928ea55,#TTT-299,市區循環,台東火車站,2025-09-12 06:00:00,-99,1970-01-01 00:00:00,1,TRUE
臺東市區,f928ea55,#TTT-299,市區循環,台東火車站,2025-09-12 16:00:00,拖吊場,2025-09-12 17:00:00,0,FALSE
臺東市區,f928ea55,#TTT-299,市區循環,台東火車站,2025-09-12 16:00:00,-99,1970-01-01 00:00:00,1,TRUE
臺東市區,f928ea55,#TTT-299,市區循環,台東火車站,2025-09-12 17:00:00,拖吊場,2025-09-12 17:00:00,0,FALSE
臺東市區,f928ea55,#TTT-299,市區循環,台東火車站,2025-09-12 17:00:00,-99,1970-01-01 00:00:00,1,TRUE
臺東市區,f928ea55,#TTT-299,市區循環,東方大鎮,2025-09-13 11:00:00,台東轉運站,2025-09-13 12:00:00,0,FALSE
臺東市區,f928ea55,#TTT-299,市區循環,東方大鎮,2025-09-13 11:00:00,-99,1970-01-01 00:00:00,1,FALSE
臺東市區,f928ea55,#TTT-299,市區循環,台東火車站,2025-09-13 14:00:00,拖吊場,2025-09-13 14:00:00,0,FALSE
臺東市區,f928ea55,#TTT-299,市區循環,拖吊場,2025-09-13 14:00:00,台東火車站,2025-09-13 15:00:00,0,FALSE
臺東市區,f928ea55,#TTT-299,市區循環,拖吊場,2025-09-13 14:00:00,-99,1970-01-01 00:00:00,1,FALSE
臺東市區,f928ea55,#TTT-299,市區循環,台東火車站,2025-09-13 14:00:00,-99,1970-01-01 00:00:00,1,TRUE
臺東市區,f928ea55,#TTT-299,陸海空線,富岡港口,2025-09-13 15:00:00,台東火車站,2025-09-13 16:00:00,0,FALSE
臺東市區,f928ea55,#TTT-299,陸海空線,台東火車站,2025-09-13 15:00:00,富岡港口,2025-09-13 15:00:00,0,FALSE
臺東市區,f928ea55,#TTT-299,陸海空線,台東火車站,2025-09-13 15:00:00,-99,1970-01-01 00:00:00,1,TRUE
臺東市區,f928ea55,#TTT-299,陸海空線,富岡港口,2025-09-13 15:00:00,-99,1970-01-01 00:00:00,1,TRUE
臺東市區,f928ea55,#TTT-299,市區循環,拖吊場,2025-09-13 16:00:00,台東火車站,2025-09-13 17:00:00,0,FALSE
臺東市區,f928ea55,#TTT-299,市區循環,拖吊場,2025-09-13 16:00:00,-99,1970-01-01 00:00:00,1,FALSE
臺東市區,f928ea55,#TTT-299,市區循環,台東火車站,2025-09-13 17:00:00,台東火車站,2025-09-13 17:00:00,0,FALSE
臺東市區,f928ea55,#TTT-299,市區循環,台東火車站,2025-09-13 17:00:00,-99,1970-01-01 00:00:00,1,TRUE
臺東市區,f928ea55,#TTT-299,市區循環,台東轉運站,2025-09-13 18:00:00,卑南入口,2025-09-13 18:00:00,0,FALSE
臺東市區,f928ea55,#TTT-299,陸海空線,台東火車站,2025-09-13 18:00:00,中央市場,2025-09-13 18:00:00,0,FALSE
臺東市區,f928ea55,#TTT-299,陸海空線,台東火車站,2025-09-13 18:00:00,-99,1970-01-01 00:00:00,1,TRUE
臺東市區,f928ea55,#TTT-299,市區循環,台東轉運站,2025-09-13 18:00:00,-99,1970-01-01 00:00:00,1,TRUE
臺東市區,f928ea55,#TTT-299,市區循環,台東火車站,2025-09-13 18:00:00,-99,1970-01-01 00:00:00,1,FALSE
臺東市區,f928ea55,#TTT-299,市區循環,海濱公園,2025-09-13 19:00:00,棒球場,2025-09-13 19:00:00,0,FALSE
臺東市區,f928ea55,#TTT-299,陸海空線,台東火車站,2025-09-13 19:00:00,台東火車站,2025-09-13 19:00:00,0,FALSE
臺東市區,f928ea55,#TTT-299,陸海空線,台東火車站,2025-09-13 19:00:00,-99,1970-01-01 00:00:00,1,TRUE
臺東市區,f928ea55,#TTT-299,市區循環,海濱公園,2025-09-13 19:00:00,-99,1970-01-01 00:00:00,1,TRUE
臺東市區,f928ea55,#TTT-299,陸海空線,台東火車站,2025-09-13 20:00:00,台東火車站,2025-09-13 20:00:00,0,FALSE
臺東市區,f928ea55,#TTT-299,陸海空線,台東火車站,2025-09-13 20:00:00,-99,1970-01-01 00:00:00,1,TRUE
臺東市區,f928ea55,#TTT-299,市區循環,拖吊場,2025-09-14 11:00:00,台東火車站,2025-09-14 12:00:00,0,FALSE
臺東市區,f928ea55,#TTT-299,市區循環,拖吊場,2025-09-14 11:00:00,-99,1970-01-01 00:00:00,1,FALSE
臺東市區,f928ea55,#TTT-299,市區循環,台東火車站,2025-09-15 06:00:00,台東火車站,2025-09-15 07:00:00,0,FALSE
臺東市區,f928ea55,#TTT-299,市區循環,台東火車站,2025-09-15 06:00:00,-99,1970-01-01 00:00:00,1,TRUE
臺東市區,f928ea55,#TTT-299,陸海空線,台東火車站,2025-09-15 17:00:00,中央市場,2025-09-15 17:00:00,0,FALSE
臺東市區,f928ea55,#TTT-299,陸海空線,台東火車站,2025-09-15 17:00:00,-99,1970-01-01 00:00:00,1,TRUE
臺東市區,f928ea55,#TTT-299,市區循環,台東火車站,2025-09-16 06:00:00,台東火車站,2025-09-16 07:00:00,0,FALSE
臺東市區,f928ea55,#TTT-299,市區循環,台東火車站,2025-09-16 06:00:00,-99,1970-01-01 00:00:00,1,TRUE
臺東市區,f928ea55,#TTT-299,陸海空線,台東火車站,2025-09-16 16:00:00,台東火車站,2025-09-16 17:00:00,0,FALSE
臺東市區,f928ea55,#TTT-299,陸海空線,台東火車站,2025-09-16 16:00:00,-99,1970-01-01 00:00:00,1,TRUE
臺東市區,f928ea55,#TTT-299,陸海空線,台東火車站,2025-09-16 17:00:00,台東火車站,2025-09-16 17:00:00,0,FALSE
臺東市區,f928ea55,#TTT-299,陸海空線,台東火車站,2025-09-16 17:00:00,-99,1970-01-01 00:00:00,1,TRUE
臺東市區,f928ea55,#TTT-299,市區循環,台東火車站,2025-09-17 06:00:00,台東火車站,2025-09-17 07:00:00,0,FALSE
臺東市區,f928ea55,#TTT-299,市區循環,台東火車站,2025-09-17 06:00:00,-99,1970-01-01 00:00:00,1,TRUE
臺東市區,f928ea55,#TTT-299,市區循環,台東火車站,2025-09-17 17:00:00,台東火車站,2025-09-17 17:00:00,0,FALSE
