檔案,分頁,月份,欄位,前值,新值
平均每日使用次數及其族群分布,TPASS_花蓮市區,114/06,五次以上_人數,14,13
平均每日使用次數及其族群分布,TPASS_花蓮市區,114/06,僅一次_人數,1679,1681
平均每日使用次數及其族群分布,TPASS_花蓮市區,114/08,二至四次_人數,1605,1343
平均每日使用次數及其族群分布,TPASS_花蓮市區,114/08,五次以上_人數,84,4
平均每日使用次數及其族群分布,TPASS_花蓮市區,114/08,五次以上_比例,3.7,0.2
平均每日使用次數及其族群分布,TPASS_花蓮市區,114/08,僅一次_人數,570,912
平均每日使用次數及其族群分布,TPASS_花蓮市區,114/08,僅一次_比例,25.2,40.4
平均每日使用次數及其族群分布,TPASS_花蓮市區,114/09,二至四次_人數,3562,3051
平均每日使用次數及其族群分布,TPASS_花蓮市區,114/09,五次以上_人數,198,27
平均每日使用次數及其族群分布,TPASS_花蓮市區,114/09,五次以上_比例,3.7,0.5
平均每日使用次數及其族群分布,TPASS_花蓮市區,114/09,僅一次_人數,1547,2229
平均每日使用次數及其族群分布,TPASS_花蓮市區,114/09,僅一次_比例,29.2,42
平均每日使用次數及其族群分布,TPASS_花蓮市區,114/10,二至四次_人數,4078,3518
平均每日使用次數及其族群分布,TPASS_花蓮市區,114/10,五次以上_人數,207,18
平均每日使用次數及其族群分布,TPASS_花蓮市區,114/10,五次以上_比例,3.5,0.3
平均每日使用次數及其族群分布,TPASS_花蓮市區,114/10,僅一次_人數,1698,2447
平均每日使用次數及其族群分布,TPASS_花蓮市區,114/10,僅一次_比例,28.4,40.9
平均每日使用次數及其族群分布,全部乘客_臺東市區,113/06,二至四次_人數,2423,2422
平均每日使用次數及其族群分布,全部乘客_臺東市區,113/06,僅一次_人數,3826,3827
平均每日使用次數及其族群分布,全部乘客_臺東市區,113/07,二至四次_人數,2356,2355
平均每日使用次數及其族群分布,全部乘客_臺東市區,113/07,僅一次_人數,3893,3894
平均每日使用次數及其族群分布,全部乘客_臺東市區,113/07,僅一次_比例,60.3,60.4
平均每日使用次數及其族群分布,全部乘客_臺東市區,113/08,二至四次_人數,3035,3036
平均每日使用次數及其族群分布,全部乘客_臺東市區,113/08,五次以上_人數,287,286
平均每日使用次數及其族群分布,全部乘客_臺東市區,113/09,二至四次_人數,2808,2809
平均每日使用次數及其族群分布,全部乘客_臺東市區,113/09,五次以上_人數,345,344
平均每日使用次數及其族群分布,全部乘客_臺東市區,114/01,二至四次_人數,1956,1955
平均每日使用次數及其族群分布,全部乘客_臺東市區,114/01,僅一次_人數,3039,3040
平均每日使用次數及其族群分布,全部乘客_臺東市區,114/06,二至四次_人數,2895,2894
平均每日使用次數及其族群分布,全部乘客_臺東市區,114/06,僅一次_人數,4331,4332
平均每日使用次數及其族群分布,全部乘客_臺東市區,114/09,二至四次_人數,2182,2152
平均每日使用次數及其族群分布,全部乘客_臺東市區,114/09,五次以上_人數,336,306
平均每日使用次數及其族群分布,全部乘客_臺東市區,114/09,五次以上_比例,5.7,5.2
平均每日使用次數及其族群分布,全部乘客_臺東市區,114/09,僅一次_人數,3357,3417
平均每日使用次數及其族群分布,全部乘客_臺東市區,114/09,僅一次_比例,57.1,58.2
平均每日使用次數及其族群分布,全部乘客_臺東市區,114/10,二至四次_人數,2745,2724
平均每日使用次數及其族群分布,全部乘客_臺東市區,114/10,五次以上_人數,370,332
平均每日使用次數及其族群分布,全部乘客_臺東市區,114/10,五次以上_比例,5.3,4.7
平均每日使用次數及其族群分布,全部乘客_臺東市區,114/10,僅一次_人數,3888,3947
平均每日使用次數及其族群分布,全部乘客_臺東市區,114/10,僅一次_比例,55.5,56.4
平均每日使用次數及其族群分布,全部乘客_花蓮公路,113/11,二至四次_人數,4576,4575
平均每日使用次數及其族群分布,全部乘客_花蓮公路,113/11,僅一次_人數,5593,5594
平均每日使用次數及其族群分布,全部乘客_花蓮公路,114/01,二至四次_人數,3164,3165
平均每日使用次數及其族群分布,全部乘客_花蓮公路,114/01,五次以上_人數,1134,1133
平均每日使用次數及其族群分布,全部乘客_花蓮公路,114/10,二至四次_人數,3302,3303
平均每日使用次數及其族群分布,全部乘客_花蓮公路,114/10,五次以上_人數,1335,1334
平均每日使用次數及其族群分布,全部乘客_花蓮市區,113/10,二至四次_人數,7363,7362
平均每日使用次數及其族群分布,全部乘客_花蓮市區,113/10,僅一次_人數,7874,7875
平均每日使用次數及其族群分布,全部乘客_花蓮市區,113/11,二至四次_人數,8042,8041
平均每日使用次數及其族群分布,全部乘客_花蓮市區,113/11,僅一次_人數,9189,9190
平均每日使用次數及其族群分布,全部乘客_花蓮市區,114/02,二至四次_人數,5136,5135
平均每日使用次數及其族群分布,全部乘客_花蓮市區,114/02,僅一次_人數,7084,7085
平均每日使用次數及其族群分布,全部乘客_花蓮市區,114/03,二至四次_人數,7361,7360
平均每日使用次數及其族群分布,全部乘客_花蓮市區,114/03,僅一次_人數,8856,8857
平均每日使用次數及其族群分布,全部乘客_花蓮市區,114/04,二至四次_人數,7001,7000
平均每日使用次數及其族群分布,全部乘客_花蓮市區,114/04,僅一次_人數,9290,9291
平均每日使用次數及其族群分布,全部乘客_花蓮市區,114/06,二至四次_人數,6122,6121
平均每日使用次數及其族群分布,全部乘客_花蓮市區,114/06,五次以上_人數,748,747
平均每日使用次數及其族群分布,全部乘客_花蓮市區,114/06,僅一次_人數,8133,8135
平均每日使用次數及其族群分布,全部乘客_花蓮市區,114/08,二至四次_人數,4653,4405
平均每日使用次數及其族群分布,全部乘客_花蓮市區,114/08,五次以上_人數,867,787
平均每日使用次數及其族群分布,全部乘客_花蓮市區,114/08,五次以上_比例,7.3,6.7
平均每日使用次數及其族群分布,全部乘客_花蓮市區,114/08,僅一次_人數,6280,6608
平均每日使用次數及其族群分布,全部乘客_花蓮市區,114/08,僅一次_比例,53.2,56
平均每日使用次數及其族群分布,全部乘客_花蓮市區,114/09,二至四次_人數,8039,7591
平均每日使用次數及其族群分布,全部乘客_花蓮市區,114/09,五次以上_人數,915,727
平均每日使用次數及其族群分布,全部乘客_花蓮市區,114/09,五次以上_比例,5.2,4.1
平均每日使用次數及其族群分布,全部乘客_花蓮市區,114/09,僅一次_人數,8623,9259
平均每日使用次數及其族群分布,全部乘客_花蓮市區,114/09,僅一次_比例,49.1,52.7
平均每日使用次數及其族群分布,全部乘客_花蓮市區,114/10,二至四次_人數,8280,7759
平均每日使用次數及其族群分布,全部乘客_花蓮市區,114/10,五次以上_人數,837,646
平均每日使用次數及其族群分布,全部乘客_花蓮市區,114/10,五次以上_比例,4.5,3.5
平均每日使用次數及其族群分布,全部乘客_花蓮市區,114/10,僅一次_人數,9398,10110
平均每日使用次數及其族群分布,全部乘客_花蓮市區,114/10,僅一次_比例,50.8,54.6
平均每日使用次數及其族群分布,單日平均_花蓮市區,113/07,該月總使用次數,20798,20797
平均每日使用次數及其族群分布,單日平均_花蓮市區,113/09,該月總使用次數,35987,35986
平均每日使用次數及其族群分布,單日平均_花蓮市區,113/10,該月總使用次數,33193,33192
平均每日使用次數及其族群分布,單日平均_花蓮市區,113/11,該月總使用次數,35521,35517
平均每日使用次數及其族群分布,單日平均_花蓮市區,113/12,該月總使用次數,39379,39378
平均每日使用次數及其族群分布,單日平均_花蓮市區,114/01,該月總使用次數,21619,21618
平均每日使用次數及其族群分布,單日平均_花蓮市區,114/02,該月總使用次數,22094,22092
平均每日使用次數及其族群分布,單日平均_花蓮市區,114/03,該月總使用次數,29233,29231
平均每日使用次數及其族群分布,單日平均_花蓮市區,114/04,該月總使用次數,29369,29366
平均每日使用次數及其族群分布,單日平均_花蓮市區,114/05,該月總使用次數,28146,28144
平均每日使用次數及其族群分布,單日平均_花蓮市區,114/06,該月總使用次數,26383,26380
平均每日使用次數及其族群分布,單日平均_花蓮市區,114/08,該月總使用次數,23101,21582
平均每日使用次數及其族群分布,單日平均_花蓮市區,114/09,該月總使用次數,33958,30685
平均每日使用次數及其族群分布,單日平均_花蓮市區,114/10,該月總使用次數,35107,31272
平均每日使用次數及其族群分布,單日平均_花蓮市區,114/11,該月總使用次數,26905,26904
平均每日使用次數及其族群分布,單日平均_花蓮市區,114/12,該月總使用次數,30074,30073
平均每日使用次數及其族群分布,平均每日_臺東公路,114/10,該月總使用次數,87936,87935
平均每日使用次數及其族群分布,平均每日_臺東市區,113/06,該月總使用次數,12309,12307
平均每日使用次數及其族群分布,平均每日_臺東市區,113/07,該月總使用次數,11518,11517
平均每日使用次數及其族群分布,平均每日_臺東市區,113/08,該月總使用次數,14745,14744
平均每日使用次數及其族群分布,平均每日_臺東市區,113/09,該月總使用次數,14433,14431
平均每日使用次數及其族群分布,平均每日_臺東市區,113/11,該月總使用次數,16157,16156
平均每日使用次數及其族群分布,平均每日_臺東市區,113/12,該月總使用次數,13757,13756
平均每日使用次數及其族群分布,平均每日_臺東市區,114/01,該月總使用次數,10936,10935
平均每日使用次數及其族群分布,平均每日_臺東市區,114/03,該月總使用次數,12206,12205
平均每日使用次數及其族群分布,平均每日_臺東市區,114/06,該月總使用次數,15133,15131
平均每日使用次數及其族群分布,平均每日_臺東市區,114/07,該月總使用次數,12897,12893
平均每日使用次數及其族群分布,平均每日_臺東市區,114/09,該月總使用次數,12926,11829
平均每日使用次數及其族群分布,平均每日_臺東市區,114/10,該月總使用次數,15782,14427
平均每日使用次數及其族群分布,平均每日_花蓮公路,113/06,該月總使用次數,28472,28469
平均每日使用次數及其族群分布,平均每日_花蓮公路,113/07,該月總使用次數,26660,26657
平均每日使用次數及其族群分布,平均每日_花蓮公路,113/08,該月總使用次數,27650,27647
平均每日使用次數及其族群分布,平均每日_花蓮公路,113/11,該月總使用次數,34724,34721
平均每日使用次數及其族群分布,平均每日_花蓮公路,114/01,該月總使用次數,26085,26084
平均每日使用次數及其族群分布,平均每日_花蓮公路,114/04,該月總使用次數,32599,32598
平均每日使用次數及其族群分布,平均每日_花蓮公路,114/06,該月總使用次數,30017,30016
平均每日使用次數及其族群分布,平均每日_花蓮公路,114/07,該月總使用次數,28640,28639
平均每日使用次數及其族群分布,平均每日_花蓮公路,114/09,該月總使用次數,31191,31189
平均每日使用次數及其族群分布,平均每日_花蓮公路,114/10,該月總使用次數,32153,32151
