上車站牌名稱,下車站牌名稱,票證數,上序,下序,現行_公里,鏡像_公里
中福站,水璉一街,15,7,33,23.96,25.15
中華路,石梯灣,15,5,66,58.28,56.77
吉安分局,南坑,15,10,35,23.64,24.58
南石梯坪,長濱分駐所,15,74,101,31.81,21.52
奚卜蘭遊客中心,成功,15,80,126,44.12,46.82
帝君廟,成功,15,2,126,115.21,118.35
海洋公園,石梯坪遊憩區,15,23,72,42.14,54.34
南樟原,長光,14,85,94,12.87,10.97
花蓮轉運站,八桑安,14,1,106,107.07,94.39
城子埔,三仙台遊憩區,14,93,118,24.5,23.73
靜浦,城子埔,14,79,93,17.13,11.3
北東興,長濱,14,52,95,41.31,37.58
花蓮文創園區(中正),海岸南海二街口,14,6,14,10.85,2.98
中華路,南石梯坪,14,5,70,60.83,64.57
花蓮文創園區(中正),南福德,14,6,25,19.98,13.57
月洞,靜浦,14,71,79,4.62,3.85
大石鼻山步道,靜浦,14,43,79,28.15,30.15
仁里橋,仁里橋,14,9,9,0,0
仁里橋,長濱,14,9,95,78.73,81.71
豐濱,奚卜蘭遊客中心,14,60,76,15.27,17.67
長濱分駐所,成功,14,101,126,17,28.67
新莊,石梯漁港,14,54,71,18.25,18.51
大港口,成功,14,78,126,46.55,47.98
帝君廟,大港口,13,2,74,66.41,68.16
中華路,恩主公廟,13,5,57,44.49,48.22
深橋,靜浦,13,56,79,22.19,21.42
海岸南海四街口,新社,13,15,48,27.22,39.48
中華路,中福站,13,5,7,1.97,0.83
花蓮轉運站,石雨傘,13,1,113,113.3,99.79
磯崎,豐濱監工站,13,40,59,11.26,14.48
奚卜蘭遊客中心,三仙台遊憩區,13,76,118,43.87,36.62
海岸東海十五街口,靜浦國小,13,12,77,54.76,65.7
南埔加油站,北東興,13,11,52,33.9,43.51
長光,三仙台遊憩區,13,94,118,24.31,21.26
花蓮轉運站,砂脈橋,13,1,39,42.4,35.25
海洋公園,和南寺,13,23,26,1.78,3.15
市民廣場,海岸南海十一街口,13,3,17,16.1,6.5
中華紙漿廠(海岸路),成功,13,18,126,96.36,110.38
花蓮轉運站,美山,13,1,123,117.48,111.71
南埔加油站,寧埔社區,13,11,113,97.38,95.11
豐濱監工站,石梯灣,13,63,70,4.16,12.52
帝君廟,海岸南海十一街口,13,2,17,16.91,6.94
海岸南海二街口,大港口,12,14,74,50.98,63.11
花蓮文創園區(中正),石梯坪遊憩區,12,6,68,58.94,61.45
仁里橋,中華路,12,9,5,4.68,1.67
豐濱監工站,獅子山,12,59,73,14.95,16.87
中華路,百齡,12,5,50,40.7,45.1
豐濱,長虹橋,12,60,75,15.01,16.87
南埔加油站,南福德,12,11,25,12.59,11.77
南埔加油站,大坑,12,11,22,9.63,8.43
中華路,南東興,12,5,53,42.48,46.42
仁里橋,長濱鄉公所,12,9,97,84.64,83.39
北回歸線,寧埔社區,12,80,107,32.99,22.64
明禮國小,成功,12,4,126,111.71,117.48
石梯漁港,港口,12,71,76,2.39,2.25
豐濱,南石梯坪,12,64,74,5.62,14.19
